"finger_width [mm]","Freq [MHz]","dB(ActiveS(1:1)) []"
2,400,-12.3081387168157
2,500,-8.44242183144668
2,600,-6.27173577389956
2,700,-5.37940979224557
2,800,-5.30446974537681
3,400,-12.9047585221813
3,500,-8.30270104269769
3,600,-5.98615889887685
3,700,-5.08258420292238
3,800,-5.0176231652366
4,400,-11.7164523127638
4,500,-8.09776245464218
4,600,-6.12473569633401
4,700,-5.38270852716577
4,800,-5.40603224168574
5,400,-10.9310769248419
5,500,-7.80148407107298
5,600,-6.07587761621167
5,700,-5.496986344024
5,800,-5.7813659313753
6,400,-11.1175867723121
6,500,-7.75347792499825
6,600,-5.93696829972437
6,700,-5.27924420138256
6,800,-5.45305019726669
7,400,-10.5358441757851
7,500,-7.43630986156921
7,600,-5.78162825738175
7,700,-5.20428273907868
7,800,-5.55105795440434
8,400,-9.48691849417512
8,500,-6.84203818530083
8,600,-5.40426939302225
8,700,-4.93870492063117
8,800,-5.29905781596829
9,400,-9.74974060719192
9,500,-7.03770637145179
9,600,-5.58949520667741
9,700,-5.14968915436982
9,800,-5.73698860900722
10,400,-9.06639519074687
10,500,-6.68463203403518
10,600,-5.43258965555854
10,700,-5.10746062400211
10,800,-5.74402909444609
15,400,-8.16974656936324
15,500,-6.13816276813094
15,600,-5.07358567317642
15,700,-4.90402399554619
15,800,-6.39482448330156
20,400,-7.19943576790886
20,500,-5.499299144087
20,600,-4.57113122225709
20,700,-4.51627448303824
20,800,-3.65283798552977
